Index,Currency,Country,Date,Price level (local),revenue,R t-1,R t-2,R t-3,R t-4,R t-5,DOW,TAX,after_holiday,afterAccidentDays,super,,,,,
Israel TA-125,ILS,Israel,10/02/1994 00:00,240.22,0.018442362,-0.034980771,0.006796556,-0.041154864,0,0.013043652,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,13/02/1994 00:00,240.22,0,0.018442362,-0.034980771,0.006796556,-0.041154864,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,14/02/1994 00:00,233.74,-0.026975273,0,0.018442362,-0.034980771,0.006796556,-0.041154864,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,15/02/1994 00:00,237.9,0.017797553,-0.026975273,0,0.018442362,-0.034980771,0.006796556,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,16/02/1994 00:00,240.38,0.010424548,0.017797553,-0.026975273,0,0.018442362,-0.034980771,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,17/02/1994 00:00,227.42,-0.053914635,0.010424548,0.017797553,-0.026975273,0,0.018442362,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,20/02/1994 00:00,227.42,0,-0.053914635,0.010424548,0.017797553,-0.026975273,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,21/02/1994 00:00,214.99,-0.054656583,0,-0.053914635,0.010424548,0.017797553,-0.026975273,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,22/02/1994 00:00,227.15,0.05656077,-0.054656583,0,-0.053914635,0.010424548,0.017797553,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,23/02/1994 00:00,227.68,0.00233326,0.05656077,-0.054656583,0,-0.053914635,0.010424548,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,24/02/1994 00:00,232.19,0.019808503,0.00233326,0.05656077,-0.054656583,0,-0.053914635,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,27/02/1994 00:00,232.19,0,0.019808503,0.00233326,0.05656077,-0.054656583,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,28/02/1994 00:00,222.29,-0.042637495,0,0.019808503,0.00233326,0.05656077,-0.054656583,Monday,0,1,0,0,,,,,
Israel TA-125,ILS,Israel,01/03/1994 00:00,228.81,0.029331054,-0.042637495,0,0.019808503,0.00233326,0.05656077,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,02/03/1994 00:00,225.22,-0.015689874,0.029331054,-0.042637495,0,0.019808503,0.00233326,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,03/03/1994 00:00,225.27,0.000222005,-0.015689874,0.029331054,-0.042637495,0,0.019808503,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,06/03/1994 00:00,226.07,0.003551294,0.000222005,-0.015689874,0.029331054,-0.042637495,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,07/03/1994 00:00,221.77,-0.019020657,0.003551294,0.000222005,-0.015689874,0.029331054,-0.042637495,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,08/03/1994 00:00,221.11,-0.002976056,-0.019020657,0.003551294,0.000222005,-0.015689874,0.029331054,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,09/03/1994 00:00,210.2,-0.049341956,-0.002976056,-0.019020657,0.003551294,0.000222005,-0.015689874,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,10/03/1994 00:00,202.08,-0.038629876,-0.049341956,-0.002976056,-0.019020657,0.003551294,0.000222005,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,13/03/1994 00:00,202.08,0,-0.038629876,-0.049341956,-0.002976056,-0.019020657,0.003551294,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,14/03/1994 00:00,195.62,-0.031967538,0,-0.038629876,-0.049341956,-0.002976056,-0.019020657,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,15/03/1994 00:00,208.82,0.067477763,-0.031967538,0,-0.038629876,-0.049341956,-0.002976056,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,16/03/1994 00:00,212.81,0.019107365,0.067477763,-0.031967538,0,-0.038629876,-0.049341956,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,17/03/1994 00:00,208.95,-0.018138245,0.019107365,0.067477763,-0.031967538,0,-0.038629876,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,20/03/1994 00:00,208.95,0,-0.018138245,0.019107365,0.067477763,-0.031967538,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,21/03/1994 00:00,207.21,-0.008327351,0,-0.018138245,0.019107365,0.067477763,-0.031967538,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,22/03/1994 00:00,200.77,-0.031079581,-0.008327351,0,-0.018138245,0.019107365,0.067477763,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,23/03/1994 00:00,200.41,-0.001793097,-0.031079581,-0.008327351,0,-0.018138245,0.019107365,Wednesday,0,0,0,-1,,,,,
Israel TA-125,ILS,Israel,24/03/1994 00:00,199.79,-0.003093658,-0.001793097,-0.031079581,-0.008327351,0,-0.018138245,Thursday,0,0,1,1,,,,,
Israel TA-125,ILS,Israel,27/03/1994 00:00,199.79,0,-0.003093658,-0.001793097,-0.031079581,-0.008327351,0,Sunday,0,0,2,2,,,,,
Israel TA-125,ILS,Israel,28/03/1994 00:00,212.68,0.064517744,0,-0.003093658,-0.001793097,-0.031079581,-0.008327351,Monday,0,1,0,0,,,,,
Israel TA-125,ILS,Israel,29/03/1994 00:00,213.13,0.002115855,0.064517744,0,-0.003093658,-0.001793097,-0.031079581,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,30/03/1994 00:00,210.87,-0.010603857,0.002115855,0.064517744,0,-0.003093658,-0.001793097,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,31/03/1994 00:00,208.07,-0.013278323,-0.010603857,0.002115855,0.064517744,0,-0.003093658,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,03/04/1994 00:00,208.07,0,-0.013278323,-0.010603857,0.002115855,0.064517744,0,Sunday,0,1,0,0,,,,,
Israel TA-125,ILS,Israel,04/04/1994 00:00,208.07,0,0,-0.013278323,-0.010603857,0.002115855,0.064517744,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,05/04/1994 00:00,215.22,0.034363435,0,0,-0.013278323,-0.010603857,0.002115855,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,06/04/1994 00:00,215.39,0.000789889,0.034363435,0,0,-0.013278323,-0.010603857,Wednesday,0,0,0,0,,,,,
