"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2012","8,175.1","8,136.1","8,189.3","8,136.1","","0.76%"
"02/29/2012","8,113.2","8,182.2","8,210.3","8,106.0","","-0.71%"
"02/28/2012","8,171.6","8,149.1","8,182.0","8,132.1","","0.34%"
"02/27/2012","8,143.6","8,100.6","8,164.7","8,066.0","","-0.10%"
"02/24/2012","8,152.0","8,151.5","8,176.3","8,139.9","","0.19%"
"02/23/2012","8,136.2","8,092.6","8,139.1","8,062.8","","0.52%"
"02/22/2012","8,094.4","8,102.4","8,114.7","8,077.1","","-0.26%"
"02/21/2012","8,115.4","8,114.8","8,150.6","8,095.6","","0.01%"
"02/17/2012","8,114.5","8,092.2","8,129.4","8,091.6","","0.28%"
"02/16/2012","8,092.2","7,998.6","8,095.4","7,981.9","","1.17%"
"02/15/2012","7,998.6","8,029.6","8,059.3","7,982.9","","-0.39%"
"02/14/2012","8,029.6","8,056.2","8,056.2","7,974.2","","-0.33%"
"02/13/2012","8,056.2","7,992.0","8,065.4","7,992.0","","0.80%"
"02/10/2012","7,992.0","8,081.2","8,081.2","7,964.4","","-1.10%"
"02/09/2012","8,081.2","8,083.0","8,107.2","8,045.6","","-0.02%"
"02/08/2012","8,083.0","8,069.7","8,100.2","8,038.0","","0.16%"
"02/07/2012","8,069.7","8,048.0","8,081.6","7,998.0","","0.27%"
"02/06/2012","8,048.0","8,060.4","8,060.4","8,007.9","","-0.15%"
"02/03/2012","8,060.4","7,945.4","8,061.9","7,945.4","","1.45%"
"02/02/2012","7,945.4","7,931.4","7,967.8","7,920.4","","0.18%"
"02/01/2012","7,931.4","7,838.5","7,968.1","7,838.5","","1.19%"
"01/31/2012","7,838.5","7,834.4","7,894.9","7,801.3","","0.05%"
"01/30/2012","7,834.4","7,876.6","7,876.6","7,766.0","","-0.54%"
"01/27/2012","7,876.6","7,883.9","7,897.3","7,850.1","","-0.09%"
"01/26/2012","7,883.9","7,829.7","7,929.8","7,822.7","","-0.39%"
"01/25/2012","7,914.8","7,829.2","7,926.3","7,765.0","","0.95%"
"01/24/2012","7,840.6","7,843.9","7,843.9","7,778.7","","-0.19%"
"01/23/2012","7,855.5","7,829.3","7,885.6","7,819.5","","0.33%"
"01/20/2012","7,829.3","7,819.4","7,829.4","7,793.0","","0.13%"
"01/19/2012","7,819.4","7,766.9","7,824.1","7,766.9","","0.68%"
"01/18/2012","7,766.9","7,670.5","7,766.9","7,662.4","","1.26%"
"01/17/2012","7,670.5","7,632.0","7,723.5","7,632.0","","0.50%"
"01/13/2012","7,632.0","7,681.3","7,681.3","7,555.1","","-0.64%"
"01/12/2012","7,681.3","7,662.0","7,691.1","7,622.5","","0.25%"
"01/11/2012","7,662.0","7,668.9","7,668.9","7,615.9","","-0.09%"
"01/10/2012","7,668.9","7,584.7","7,688.2","7,584.7","","1.11%"
"01/09/2012","7,584.7","7,557.7","7,588.9","7,539.3","","0.36%"
"01/06/2012","7,557.7","7,600.0","7,601.5","7,535.6","","-0.56%"
"01/05/2012","7,600.0","7,612.1","7,613.6","7,512.6","","-0.16%"
"01/04/2012","7,612.1","7,624.3","7,624.3","7,560.0","","-0.16%"
"01/03/2012","7,624.3","7,477.0","7,660.0","7,459.4","","1.97%"
"12/30/2011","7,477.0","7,485.6","7,506.7","7,475.9","","-0.11%"
"12/29/2011","7,485.6","7,397.0","7,490.2","7,397.0","","1.20%"
"12/28/2011","7,397.0","7,508.4","7,508.4","7,393.1","","-1.48%"
"12/27/2011","7,508.4","7,518.7","7,529.2","7,494.6","","-0.14%"
"12/23/2011","7,518.7","7,460.8","7,518.9","7,460.8","","0.78%"
"12/22/2011","7,460.8","7,388.5","7,468.3","7,388.5","","0.98%"
"12/21/2011","7,388.5","7,361.0","7,397.2","7,306.2","","0.37%"
"12/20/2011","7,361.0","7,142.4","7,370.4","7,142.4","","3.06%"
"12/19/2011","7,142.4","7,237.7","7,237.7","7,129.8","","-1.32%"
"12/16/2011","7,237.7","7,217.1","7,294.7","7,203.2","","0.29%"
"12/15/2011","7,217.1","7,184.8","7,273.9","7,184.8","","0.45%"
"12/14/2011","7,184.8","7,277.6","7,277.6","7,171.7","","-1.28%"
"12/13/2011","7,277.6","7,363.5","7,441.8","7,236.9","","-1.17%"
"12/12/2011","7,363.5","7,502.9","7,502.9","7,308.5","","-1.86%"
"12/09/2011","7,502.9","7,369.5","7,520.0","7,369.5","","1.81%"
"12/08/2011","7,369.5","7,559.7","7,559.7","7,353.4","","-2.52%"
"12/07/2011","7,559.7","7,539.3","7,591.2","7,457.5","","0.27%"
"12/06/2011","7,539.3","7,531.0","7,583.9","7,496.8","","0.11%"
"12/05/2011","7,531.0","7,453.6","7,596.1","7,453.6","","1.04%"
"12/02/2011","7,453.6","7,450.4","7,550.3","7,446.4","","0.04%"
"12/01/2011","7,450.4","7,484.5","7,509.3","7,430.0","","-0.46%"
