Date,Price,Open,High,Low,Change
01/03/2012,"8,175.10","8,136.10","8,189.30","8,136.10",0.76%
29/02/2012,"8,113.20","8,182.20","8,210.30","8,106.00",-0.71%
28/02/2012,"8,171.60","8,149.10","8,182.00","8,132.10",0.34%
27/02/2012,"8,143.60","8,100.60","8,164.70","8,066.00",-0.10%
24/02/2012,"8,152.00","8,151.50","8,176.30","8,139.90",0.19%
23/02/2012,"8,136.20","8,092.60","8,139.10","8,062.80",0.52%
22/02/2012,"8,094.40","8,102.40","8,114.70","8,077.10",-0.26%
21/02/2012,"8,115.40","8,114.80","8,150.60","8,095.60",0.01%
17/02/2012,"8,114.50","8,092.20","8,129.40","8,091.60",0.28%
16/02/2012,"8,092.20","7,998.60","8,095.40","7,981.90",1.17%
15/02/2012,"7,998.60","8,029.60","8,059.30","7,982.90",-0.39%
14/02/2012,"8,029.60","8,056.20","8,056.20","7,974.20",-0.33%
13/02/2012,"8,056.20","7,992.00","8,065.40","7,992.00",0.80%
10/02/2012,"7,992.00","8,081.20","8,081.20","7,964.40",-1.10%
09/02/2012,"8,081.20","8,083.00","8,107.20","8,045.60",-0.02%
08/02/2012,"8,083.00","8,069.70","8,100.20","8,038.00",0.16%
07/02/2012,"8,069.70","8,048.00","8,081.60","7,998.00",0.27%
06/02/2012,"8,048.00","8,060.40","8,060.40","8,007.90",-0.15%
03/02/2012,"8,060.40","7,945.40","8,061.90","7,945.40",1.45%
02/02/2012,"7,945.40","7,931.40","7,967.80","7,920.40",0.18%
01/02/2012,"7,931.40","7,838.50","7,968.10","7,838.50",1.19%
31/01/2012,"7,838.50","7,834.40","7,894.90","7,801.30",0.05%
30/01/2012,"7,834.40","7,876.60","7,876.60","7,766.00",-0.54%
27/01/2012,"7,876.60","7,883.90","7,897.30","7,850.10",-0.09%
26/01/2012,"7,883.90","7,829.70","7,929.80","7,822.70",-0.39%
25/01/2012,"7,914.80","7,829.20","7,926.30","7,765.00",0.95%
24/01/2012,"7,840.60","7,843.90","7,843.90","7,778.70",-0.19%
23/01/2012,"7,855.50","7,829.30","7,885.60","7,819.50",0.33%
20/01/2012,"7,829.30","7,819.40","7,829.40","7,793.00",0.13%
19/01/2012,"7,819.40","7,766.90","7,824.10","7,766.90",0.68%
18/01/2012,"7,766.90","7,670.50","7,766.90","7,662.40",1.26%
17/01/2012,"7,670.50","7,632.00","7,723.50","7,632.00",0.50%
13/01/2012,"7,632.00","7,681.30","7,681.30","7,555.10",-0.64%
12/01/2012,"7,681.30","7,662.00","7,691.10","7,622.50",0.25%
11/01/2012,"7,662.00","7,668.90","7,668.90","7,615.90",-0.09%
10/01/2012,"7,668.90","7,584.70","7,688.20","7,584.70",1.11%
09/01/2012,"7,584.70","7,557.70","7,588.90","7,539.30",0.36%
06/01/2012,"7,557.70","7,600.00","7,601.50","7,535.60",-0.56%
05/01/2012,"7,600.00","7,612.10","7,613.60","7,512.60",-0.16%
04/01/2012,"7,612.10","7,624.30","7,624.30","7,560.00",-0.16%
03/01/2012,"7,624.30","7,477.00","7,660.00","7,459.40",1.97%
30/12/2011,"7,477.00","7,485.60","7,506.70","7,475.90",-0.11%
29/12/2011,"7,485.60","7,397.00","7,490.20","7,397.00",1.20%
28/12/2011,"7,397.00","7,508.40","7,508.40","7,393.10",-1.48%
27/12/2011,"7,508.40","7,518.70","7,529.20","7,494.60",-0.14%
23/12/2011,"7,518.70","7,460.80","7,518.90","7,460.80",0.78%
22/12/2011,"7,460.80","7,388.50","7,468.30","7,388.50",0.98%
21/12/2011,"7,388.50","7,361.00","7,397.20","7,306.20",0.37%
20/12/2011,"7,361.00","7,142.40","7,370.40","7,142.40",3.06%
19/12/2011,"7,142.40","7,237.70","7,237.70","7,129.80",-1.32%
16/12/2011,"7,237.70","7,217.10","7,294.70","7,203.20",0.29%
15/12/2011,"7,217.10","7,184.80","7,273.90","7,184.80",0.45%
14/12/2011,"7,184.80","7,277.60","7,277.60","7,171.70",-1.28%
13/12/2011,"7,277.60","7,363.50","7,441.80","7,236.90",-1.17%
12/12/2011,"7,363.50","7,502.90","7,502.90","7,308.50",-1.86%
09/12/2011,"7,502.90","7,369.50","7,520.00","7,369.50",1.81%
08/12/2011,"7,369.50","7,559.70","7,559.70","7,353.40",-2.52%
07/12/2011,"7,559.70","7,539.30","7,591.20","7,457.50",0.27%
06/12/2011,"7,539.30","7,531.00","7,583.90","7,496.80",0.11%
05/12/2011,"7,531.00","7,453.60","7,596.10","7,453.60",1.04%
02/12/2011,"7,453.60","7,450.40","7,550.30","7,446.40",0.04%
01/12/2011,"7,450.40","7,484.50","7,509.30","7,430.00",-0.46%
30/11/2011,"7,484.50","7,149.70","7,485.60","7,149.70",4.68%
29/11/2011,"7,149.70","7,120.60","7,192.00","7,118.30",0.41%
28/11/2011,"7,120.60","6,898.20","7,156.70","6,898.20",3.22%
25/11/2011,"6,898.20","6,919.90","6,981.80","6,898.10",-0.31%
23/11/2011,"6,919.90","7,094.90","7,094.90","6,919.80",-2.47%
22/11/2011,"7,094.90","7,134.50","7,149.20","7,062.10",-0.56%
21/11/2011,"7,134.50","7,282.50","7,282.50","7,075.00",-2.03%
18/11/2011,"7,282.50","7,274.10","7,329.30","7,256.30",0.12%
17/11/2011,"7,274.10","7,392.00","7,412.20","7,237.70",-1.59%
16/11/2011,"7,392.00","7,509.10","7,525.90","7,387.30",-1.56%
15/11/2011,"7,509.10","7,493.30","7,547.40","7,432.30",0.21%
14/11/2011,"7,493.30","7,576.20","7,576.20","7,459.50",-1.09%
11/11/2011,"7,576.20","7,423.70","7,599.20","7,423.70",2.05%
10/11/2011,"7,423.70","7,353.40","7,463.90","7,352.50",0.96%
09/11/2011,"7,353.40","7,671.90","7,671.90","7,344.60",-4.15%
08/11/2011,"7,671.90","7,590.40","7,681.20","7,546.50",1.07%
07/11/2011,"7,590.40","7,552.20","7,592.80","7,461.20",0.51%
04/11/2011,"7,552.20","7,605.10","7,605.10","7,457.80",-0.70%
03/11/2011,"7,605.10","7,461.20","7,616.80","7,437.40",1.93%
02/11/2011,"7,461.20","7,337.10","7,491.00","7,337.10",1.69%
